Employee_ID,Department,Gender,Age,Salary,Training_Hours,Performance_Rating,Overtime_Ratio,Status,Hire_Date
EMP1000,Sales,Non-binary,56,150000,35,4.1,0.39,Active,2021-05-06
EMP1001,Engineering,Non-binary,31,110000,15,0.9,0.44,Active,2024-01-03
EMP1002,Product,Male,38,80000,23,2.0,0.06,Resigned,2022-10-03
EMP1003,Engineering,Non-binary,40,110000,33,2.8,0.15,Active,2024-01-11
EMP1004,Product,Male,44,70000,16,1.6,0.06,Active,2022-11-23
EMP1005,Product,Male,44,130000,43,3.3,0.44,Active,2021-10-10
EMP1006,Marketing,Non-binary,59,140000,24,1.7,0.28,Resigned,2017-12-21
EMP1007,Engineering,Female,28,140000,45,3.8,0.35,Active,2017-02-28
EMP1008,Sales,Male,33,140000,44,3.5,0.49,Active,2023-10-28
EMP1009,HR,Male,29,110000,29,2.3,0.11,Active,2019-09-07
EMP1010,Engineering,Male,45,80000,48,4.8,0.29,Active,2022-11-06
EMP1011,Product,Male,40,150000,17,0.9,0.23,Resigned,2023-03-23
EMP1012,Engineering,Female,26,140000,34,3.7,0.35,Active,2021-05-07
EMP1013,Product,Female,34,110000,25,3.3,0.13,Active,2015-01-03
EMP1014,Engineering,Male,47,120000,11,1.9,0.05,Active,2017-12-04
EMP1015,HR,Non-binary,58,100000,13,1.6,0.02,Active,2021-01-19
EMP1016,Engineering,Non-binary,35,100000,11,0.2,0.4,Active,2019-01-24
EMP1017,Product,Male,28,80000,36,3.1,0.38,Active,2015-07-03
EMP1018,Product,Male,30,70000,43,4.2,0.29,Resigned,2024-11-04
EMP1019,Marketing,Non-binary,26,130000,20,1.5,0.49,Resigned,2022-04-06
EMP1020,Product,Non-binary,35,80000,11,1.3,0.13,Active,2025-04-22
EMP1021,Sales,Male,24,100000,15,2.1,0.19,Active,2018-07-04
EMP1022,Product,Male,57,140000,50,4.7,0.14,Active,2025-03-06
EMP1023,HR,Non-binary,41,120000,32,3.0,0.44,Resigned,2023-01-22
EMP1024,Marketing,Male,30,80000,35,3.4,0.03,Active,2015-08-24
EMP1025,Product,Female,51,100000,27,3.7,0.34,Active,2025-02-26
EMP1026,Marketing,Female,29,150000,47,3.9,0.21,Active,2016-03-22
EMP1027,Marketing,Male,36,150000,32,3.6,0.3,Active,2016-11-06
EMP1028,Marketing,Male,45,110000,19,0.9,0.22,Active,2019-08-23
EMP1029,Engineering,Male,33,100000,39,4.8,0.48,Resigned,2020-09-11
EMP1030,Sales,Female,30,80000,21,1.3,0.32,Resigned,2025-11-09
EMP1031,Sales,Male,31,70000,17,1.6,0.36,Active,2018-03-13
EMP1032,Engineering,Female,30,70000,34,3.6,0.46,Resigned,2016-06-16
EMP1033,Engineering,Male,27,110000,34,3.0,0.2,Resigned,2023-02-28
EMP1034,Engineering,Non-binary,59,140000,40,3.5,0.1,Resigned,2020-10-04
EMP1035,HR,Non-binary,31,100000,25,1.6,0.46,Active,2016-05-15
EMP1036,Sales,Non-binary,46,150000,40,3.5,0.21,Resigned,2022-08-04
EMP1037,Sales,Male,49,120000,44,4.6,0.21,Resigned,2023-06-27
EMP1038,Marketing,Female,39,70000,37,3.0,0.42,Active,2015-04-13
EMP1039,Product,Non-binary,46,90000,25,2.7,0.01,Active,2021-01-07
EMP1040,HR,Non-binary,58,140000,47,5.0,0.12,Active,2025-01-17
EMP1041,Sales,Non-binary,22,80000,44,4.9,0.15,Resigned,2021-12-08
EMP1042,Engineering,Non-binary,47,150000,18,1.6,0.38,Active,2015-12-14
EMP1043,HR,Female,42,150000,24,2.3,0.47,Resigned,2020-01-13
EMP1044,Sales,Female,26,80000,41,4.8,0.09,Active,2024-07-08
EMP1045,Product,Non-binary,38,80000,23,2.8,0.47,Active,2020-01-25
EMP1046,Marketing,Female,60,70000,32,2.7,0.34,Active,2022-11-23
EMP1047,HR,Male,55,150000,44,4.9,0.38,Resigned,2025-09-13
EMP1048,Marketing,Non-binary,49,110000,17,1.9,0.4,Resigned,2020-07-01
EMP1049,Engineering,Non-binary,34,70000,39,3.3,0.45,Active,2024-11-21
EMP1050,Marketing,Male,53,120000,26,1.7,0.02,Active,2023-11-15
EMP1051,Product,Female,47,150000,37,3.3,0.24,Resigned,2023-04-24
EMP1052,HR,Female,50,100000,47,5.0,0.22,Resigned,2022-09-05
EMP1053,HR,Male,28,150000,37,3.1,0.11,Active,2021-02-01
EMP1054,HR,Female,36,110000,46,3.7,0.05,Active,2015-04-25
EMP1055,Sales,Female,41,110000,28,3.6,0.33,Resigned,2015-06-11
EMP1056,Marketing,Male,49,140000,35,2.8,0.24,Resigned,2016-11-21
EMP1057,Product,Male,57,120000,28,2.5,0.39,Active,2023-12-09
EMP1058,Marketing,Male,38,80000,49,4.6,0.43,Active,2015-02-21
EMP1059,HR,Non-binary,52,110000,19,1.3,0.0,Resigned,2025-02-18
EMP1060,Product,Non-binary,51,80000,26,2.2,0.23,Resigned,2018-03-15
EMP1061,HR,Non-binary,28,130000,28,3.3,0.06,Resigned,2021-07-11
EMP1062,Engineering,Female,41,130000,11,1.4,0.16,Active,2019-03-20
EMP1063,Engineering,Male,49,70000,35,3.8,0.23,Active,2025-07-05
EMP1064,HR,Non-binary,49,70000,18,1.1,0.32,Resigned,2015-04-01
EMP1065,Product,Female,26,130000,19,1.4,0.43,Active,2016-07-22
EMP1066,Sales,Male,60,80000,27,3.3,0.43,Active,2015-05-12
EMP1067,HR,Male,43,120000,39,4.2,0.41,Active,2021-01-03
EMP1068,Product,Male,55,150000,49,5.0,0.19,Active,2019-05-27
EMP1069,Engineering,Female,28,100000,48,5.0,0.33,Active,2020-11-18
EMP1070,Engineering,Male,44,150000,14,2.1,0.14,Active,2024-06-12
EMP1071,Sales,Male,59,90000,37,4.4,0.07,Active,2022-03-28
EMP1072,HR,Male,37,70000,13,1.4,0.1,Active,2020-07-01
EMP1073,Engineering,Non-binary,44,130000,30,3.7,0.35,Active,2021-12-23
EMP1074,Sales,Non-binary,57,120000,32,2.9,0.34,Active,2018-08-12
EMP1075,Sales,Non-binary,36,140000,14,0.4,0.08,Resigned,2024-01-27
EMP1076,HR,Female,52,110000,41,3.5,0.43,Active,2020-03-02
EMP1077,Engineering,Female,47,90000,31,3.9,0.4,Active,2016-02-21
EMP1078,HR,Non-binary,55,120000,20,2.7,0.1,Resigned,2022-12-05
EMP1079,Marketing,Non-binary,54,100000,35,3.1,0.02,Active,2023-01-27
EMP1080,HR,Female,46,100000,11,2.0,0.33,Resigned,2025-11-09
EMP1081,Sales,Male,59,110000,18,2.8,0.27,Active,2020-11-05
EMP1082,Marketing,Male,58,140000,43,4.5,0.24,Active,2023-02-28
EMP1083,Product,Non-binary,37,80000,26,3.3,0.3,Active,2020-04-16
EMP1084,Engineering,Non-binary,38,70000,24,1.5,0.08,Active,2025-08-02
EMP1085,Product,Non-binary,45,150000,37,4.1,0.13,Resigned,2021-04-19
EMP1086,Sales,Non-binary,50,140000,17,2.4,0.38,Resigned,2021-05-19
EMP1087,Product,Male,24,130000,42,4.9,0.45,Active,2022-08-06
EMP1088,HR,Non-binary,54,150000,37,2.9,0.22,Resigned,2025-06-05
EMP1089,Engineering,Male,42,110000,15,1.8,0.19,Active,2020-02-24
EMP1090,Sales,Non-binary,34,100000,15,1.2,0.49,Active,2019-02-21
EMP1091,HR,Female,48,150000,42,4.7,0.09,Resigned,2023-10-13
EMP1092,Product,Male,37,120000,45,3.5,0.34,Active,2015-06-03
EMP1093,HR,Non-binary,57,80000,29,2.8,0.03,Active,2022-08-09
EMP1094,HR,Male,30,110000,42,3.2,0.13,Resigned,2024-03-22
EMP1095,Product,Male,37,110000,19,1.4,0.05,Active,2018-07-07
EMP1096,Sales,Male,41,100000,39,3.6,0.46,Active,2017-04-06
EMP1097,Sales,Male,57,140000,22,1.3,0.26,Active,2021-08-01
EMP1098,Product,Male,56,90000,43,5.0,0.28,Active,2025-02-14
EMP1099,Product,Non-binary,30,80000,40,3.6,0.04,Active,2015-10-06
EMP1100,Marketing,Non-binary,53,110000,38,4.5,0.24,Resigned,2020-09-21
EMP1101,HR,Non-binary,59,90000,13,0.8,0.35,Active,2018-03-28
EMP1102,Product,Non-binary,25,140000,49,4.8,0.46,Active,2022-04-13
EMP1103,Sales,Non-binary,54,70000,14,1.4,0.13,Active,2023-08-15
EMP1104,HR,Non-binary,35,110000,31,2.2,0.01,Active,2021-03-14
EMP1105,HR,Female,34,140000,46,3.9,0.28,Resigned,2016-10-25
EMP1106,Sales,Non-binary,38,120000,17,1.2,0.32,Active,2016-12-10
EMP1107,Product,Female,48,90000,48,5.0,0.18,Active,2020-02-15
EMP1108,Product,Male,39,150000,40,4.5,0.49,Resigned,2025-07-19
EMP1109,HR,Non-binary,27,140000,27,2.5,0.08,Resigned,2017-10-04
EMP1110,Marketing,Female,34,110000,25,2.9,0.34,Active,2023-07-18
EMP1111,Marketing,Non-binary,38,70000,35,4.0,0.33,Active,2022-05-23
EMP1112,Marketing,Female,35,140000,12,0.4,0.19,Active,2021-05-21
EMP1113,Sales,Female,24,100000,40,4.5,0.3,Active,2022-06-01
EMP1114,Engineering,Male,39,150000,21,2.6,0.15,Resigned,2016-12-27
EMP1115,Marketing,Male,53,150000,10,0.5,0.04,Active,2023-10-06
EMP1116,Marketing,Male,26,120000,28,3.2,0.49,Resigned,2024-10-13
EMP1117,Sales,Female,33,80000,15,1.9,0.11,Resigned,2024-12-23
EMP1118,Engineering,Non-binary,54,110000,48,5.0,0.13,Active,2018-12-06
EMP1119,Sales,Non-binary,50,150000,33,4.3,0.05,Resigned,2022-10-13
