Employee_ID,Department,Gender,Age,Salary,Training_Hours,Performance_Rating,Overtime_Ratio,Status,Hire_Date
EMP1000,engineering,Female,26,76000.0,12,1.1,0.46,Active,2020-08-01
EMP1001,Product,Male,46,130000.0,24,2.8,0.04,Active,8/10/2024
EMP1002,Marketing,Non-binary,53,100000.0,12,0.4,0.06,Resigned,2020-03-01
EMP1003,Product,Female,39,130000.0,28,3.3,0.03,Active,2023-04-01
EMP1004,Product,Non-binary,60,150000.0,18,2.4,0.14,Resigned,2021-05-01
EMP1005,Engineering,Male,35,100000.0,17,1.9,0.46,Active,2021-04-01
EMP1006,Marketing,Male,40,130000.0,47,47.49617166329539,0.24,Resigned,2023-07-01
EMP1007,Sales,Non-binary,25,150000.0,23,2.0,0.44,Resigned,2019-04-01
EMP1008,Product,Non-binary,32,70000.0,28,83.23553539839855,0.35,Resigned,2017-01-01
EMP1009,Product,Female,39,70000.0,14,1.7,0.13,Active,2017-09-01
EMP1010,HR,Non-binary,56,130000.0,46,4.1,0.32,Active,2023-08-01
EMP1011,Engineering,Male,56,90000.0,46,4.1,0.24,Active,2019-05-01
EMP1012,Sales,Non-binary,39,110000.0,38,3.3,0.36,Active,2023-09-01
EMP1013,HR,Non-binary,37,150000.0,50,5.0,0.11,Resigned,2017-03-01
EMP1014,Product,Non-binary,40,90000.0,29,2.1,0.16,Active,2021-07-01
EMP1015,Sales,Female,54,130000.0,17,1.7,0.4,Resigned,2021-01-01
EMP1016,Sales,Male,24,120000.0,46,5.0,0.45,Resigned,2023-09-01
EMP1017,HR,Non-binary,32,90000.0,31,3.5,0.04,Active,2022-09-01
EMP1018,Engineering,Female,25,104500.0,50,4.3,0.45,Resigned,2015-07-01
EMP1019,Marketing,Female,58,140000.0,40,4.4,0.39,Active,2019-10-01
EMP1020,Product,Non-binary,59,90000.0,21,3.0,0.41,Active,2015-03-01
EMP1021,Sales,Female,44,140000.0,44,4.4,0.42,Active,2022-02-01
EMP1022,Engineering,Non-binary,36,100000.0,31,2.6,0.16,Active,2022-01-01
EMP1023,Engineering,Non-binary,26,140000.0,44,3.4,0.37,Resigned,2017-09-01
EMP1024,Marketing,Non-binary,24,150000.0,33,2.5,0.19,Active,2020-04-01
EMP1025,Sales,Non-binary,47,100000.0,34,3.2,0.03,Active,2022-05-01
EMP1026,Sales,Non-binary,56,80000.0,12,40.46443440974668,0.05,Active,2017-12-01
EMP1027,Product,Female,30,140000.0,46,4.8,0.2,Resigned,2023-01-01
EMP1028,Engineering,Male,52,70000.0,46,5.0,0.28,Active,2020-07-01
EMP1029,Product,Male,29,90000.0,24,1.4,0.35,Active,2016-03-01
EMP1030,Product,Non-binary,52,130000.0,19,2.9,0.02,Active,2021-09-01
EMP1031,HR,Non-binary,47,,39,4.7,0.48,Resigned,2019-04-01
EMP1032,Engineering,Female,42,76000.0,23,2.8,0.12,Active,2015-06-01
EMP1033,Product,Male,52,120000.0,21,1.5,0.35,Resigned,2020-05-01
EMP1034,HR,Female,53,70000.0,36,2.8,0.12,Resigned,2020-05-01
EMP1035,HR,Female,23,140000.0,16,1.6,0.38,Active,2020-05-01
EMP1036,Marketing,Female,50,100000.0,38,3.7,0.15,Resigned,2020-11-01
EMP1037,Marketing,Female,56,150000.0,19,2.1,0.25,Active,2022-04-01
EMP1038,HR,Male,58,80000.0,20,1.8,0.23,Active,2015-01-01
EMP1039,HR,Female,41,110000.0,28,2.4,0.36,Active,2023-01-01
EMP1040,Engineering,Non-binary,41,90000.0,13,1.0,0.06,Active,2021-02-01
EMP1041,Product,Non-binary,52,70000.0,22,1.2,0.46,Resigned,2021-10-01
EMP1042,HR,Male,22,150000.0,49,4.4,0.04,Active,2022-05-01
EMP1043,HR,Non-binary,29,150000.0,29,2.3,0.46,Active,2016-02-01
EMP1044,HR,Female,30,100000.0,29,3.7,0.27,Resigned,2019-10-01
EMP1045,product,Male,37,150000.0,19,2.5,0.18,Active,2020-08-01
EMP1046,Marketing,Female,26,140000.0,17,31.786131719116412,0.36,Active,2016-08-01
EMP1047,Marketing,Male,40,130000.0,29,3.9,0.46,Active,2019-11-01
EMP1048,Sales,Non-binary,33,120000.0,44,4.3,0.28,Active,2022-10-01
EMP1049,Sales,Non-binary,41,90000.0,28,3.2,0.23,Active,2016-11-01
EMP1050,Engineering,Non-binary,35,110000.0,28,3.4,0.31,Active,2017-04-01
EMP1051,Engineering,Female,58,123500.0,40,3.0,0.47,Active,2015-02-01
EMP1052,Sales,Male,37,90000.0,38,3.8,0.07,Resigned,2021-07-01
EMP1053,Marketing,Female,54,120000.0,17,2.5,0.21,Active,2022-09-01
EMP1054,HR,Female,24,90000.0,23,2.4,0.38,Resigned,2007-11-24
EMP1055,Product,Male,43,140000.0,45,4.2,0.45,Active,2017-04-01
EMP1056,Marketing,Female,24,90000.0,35,2.7,0.49,Resigned,2017-10-01
EMP1057,marketing,Male,28,70000.0,36,3.9,0.16,Active,2021-10-01
EMP1058,Sales,Male,47,130000.0,41,4.8,0.09,Active,2019-05-01
EMP1059,Engineering,Female,52,85500.0,30,3.0,0.49,Active,21/4/2020
EMP1060,Engineering,Female,34,66500.0,50,4.9,0.06,Active,2016-09-01
EMP1061,Product,Non-binary,23,90000.0,45,3.8,0.07,Resigned,2019-11-01
EMP1062,Marketing,Non-binary,43,150000.0,47,4.0,0.45,Active,2015-07-01
EMP1063,Sales,Male,24,90000.0,37,2.9,0.02,Resigned,2020-10-01
EMP1064,Sales,Male,51,100000.0,50,5.0,0.24,Resigned,2018-04-01
EMP1065,HR,Female,34,100000.0,30,2.1,0.21,Active,2023-12-01
EMP1066,Sales,Female,45,130000.0,20,2.6,0.32,Resigned,2021-12-01
EMP1067,HR,Male,38,150000.0,25,84.9360282461228,0.0,Active,2017-09-01
EMP1068,HR,Female,24,140000.0,14,1.4,0.41,Resigned,2015-11-01
EMP1069,engineering,Female,50,85500.0,50,5.0,0.47,Active,2023-01-01
EMP1070,Marketing,Female,48,150000.0,23,2.0,0.5,Resigned,2018-09-01
EMP1071,HR,Male,34,130000.0,37,2.7,0.15,Resigned,2017-10-01
EMP1072,Engineering,Male,40,70000.0,28,-1.8684634289887052,0.09,Resigned,2018-05-01
EMP1073,Marketing,Male,25,100000.0,33,2.5,0.44,Resigned,2016-02-01
EMP1074,Product,Non-binary,53,150000.0,23,2.4,0.02,Resigned,2015-08-01
EMP1075,Sales,Female,55,80000.0,45,4.4,0.23,Active,2022-03-01
EMP1076,Product,Male,32,110000.0,44,4.8,0.24,Active,2021-07-01
EMP1077,Marketing,Female,35,100000.0,44,3.6,0.18,Active,2017-02-01
EMP1078,Engineering,Non-binary,24,120000.0,11,0.2,0.23,Active,2022-10-01
EMP1079,Engineering,Male,39,140000.0,25,2.4,0.21,Resigned,2020-11-01
EMP1080,Sales,Female,39,130000.0,43,4.8,0.4,Active,2018-04-01
EMP1081,HR,Female,34,90000.0,19,2.6,0.28,Active,2022-02-01
EMP1082,Product,Non-binary,29,150000.0,11,0.4,0.35,Resigned,2020-02-01
EMP1083,Product,Male,31,150000.0,39,3.6,0.38,Active,2022-09-01
EMP1084,Engineering,Non-binary,33,,26,1.9,0.25,Active,2020-07-01
EMP1085,Marketing,Non-binary,32,140000.0,21,1.3,0.47,Active,2015-08-01
EMP1086,Marketing,Male,55,150000.0,36,3.5,0.46,Resigned,2023-06-01
EMP1087,Sales,Male,42,120000.0,15,0.8,0.01,Resigned,2017-10-01
EMP1088,HR,Male,43,70000.0,38,3.8,0.48,Active,22/2/2018
EMP1089,Engineering,Non-binary,23,150000.0,43,3.7,0.34,Active,2016-05-01
EMP1090,Marketing,Female,23,140000.0,49,4.0,0.47,Active,2021-06-01
EMP1091,Engineering,Male,44,,18,1.6,0.18,Active,2018-09-01
EMP1092,Sales,Female,36,150000.0,34,4.3,0.49,Active,2021-11-01
EMP1093,Sales,Non-binary,46,130000.0,28,3.0,0.45,Active,2017-01-01
EMP1094,Engineering,Non-binary,33,90000.0,46,4.8,0.46,Active,2019-09-01
EMP1095,HR,Non-binary,52,150000.0,46,4.3,0.47,Resigned,2018-10-01
EMP1096,Sales,Male,48,130000.0,31,2.5,0.38,Active,2015-04-01
EMP1097,Sales,Non-binary,28,110000.0,47,5.0,0.13,Resigned,2019-06-01
EMP1098,Sales,Non-binary,28,80000.0,25,1.6,0.23,Resigned,2018-09-01
